machine	bbchallenge_id	formula_tape	num_steps_until_formula_tape	num_macro_steps_until_special_case
1RB1LB_1RC0LD_1LD1RB_---1LE_0LA0RD	11615745	.<A01(0101)1.	73	27
1RB1LB_1RC0LD_1LD1RE_1RC0LA_0RD---	11615823	.<A0010(010110)1.	168	62
1RB1LB_1RC0LE_0RD---_1LA0RC_1LD0LA	11616013	.<A110100(10100).	93	34
1RB1LB_1RC0LE_0RD---_1LE0LA_0LA1LD	11616062	.<A00101(0101).	60	22
1RB1LB_1RC0LE_0RD0RB_1LA---_1RA1LA	11616100	.<B11010(110110).	122	42
1RB1LB_1RC0LE_0RD0RC_1LD1RB_---0LA	11616107	.<A00111(00111).	120	42
1RB1LB_1RC0LE_0LD0RA_0LA1LD_---0RC	11616593	.<A011(111111)010110.	205	68
1RB1LB_1RC0LE_0LD0RA_0LA1LD_---0LA	11616594	.<A011(111111)010110.	195	64
1RB1LB_1RC0LE_0LD0RA_0LA1LD_---1LC	11616595	.<A011(1)010(0)10110.	61	16
1RB1LB_1RC0LE_1RD---_0LA0RA_0LA0LB	11617570	.<A0010(00100010)10.	177	62
1RB1LB_1RC0LE_1RD0RA_1LB---_1LB1LA	11617828	.<B1101(100100).	179	70
1RB1LB_1RC0LE_1RD0RB_0LE---_1RA1LA	11617849	.<B11010(110110).	112	38
1RB1LB_1RC0LE_1RD0RB_1LA---_0RA0LC	11617850	.<B1101(01101)1.	94	34
1RB1LB_1RC0LE_1RD0LD_0LA0RA_---0LC	11618004	.<A000010010(010010).	171	59
1RB1LB_1RC0LE_1RD1RE_1LE---_0RA0LB	11618282	.01110111011101110111(01110111011101110111)110111110A>.	4779	1639
1RB1LB_1RC0LE_1LD0RA_---0LA_1RA0LC	11618960	.<A0100(100).	102	36
1RB1LB_1RC0LE_1LD0RA_0LA0RE_---1LC	11618981	.<A0111(00111).	102	36
1RB1LB_1RC0LE_1LD0RA_0LA1LD_---1LC	11618983	.<A0111(00111).	84	30
1RB1LB_1RC0LE_1LD0RA_1RA0LA_---0LD	11618986	.<B10(0010)1.	101	34
1RB1LB_1RC0LE_1LD0RC_0LA0RC_---0LD	11619044	.<A000101(0101).	102	36
1RB1LB_1RC0LE_1LD0RC_1LE1LC_0LA---	11619080	.<A001011(1011).	162	56
1RB1LB_1RC0LE_1LD0RC_1LE1LD_0LA---	11619081	.<A01111(1110111011).	189	60
1RB1LB_1RC0LE_1LD1RC_1LA0RD_---0RC	11619629	.<B1111(111).	75	27
1RB1LB_1RC1RB_1LD0RA_1RA0LE_---0LC	11632935	.01110(110110)A>.	141	52
1RB1LB_1RC1RB_1LD0RA_1RB0LE_---0LC	11632936	.01110(110110)A>.	135	50
1RB1LB_1RC1RD_0RD0LC_1LE1RA_1LC---	11637891	.(01111011110111101111)A>.	920	252
1RB1LB_1RC1RD_0LA1RB_---0RE_1LC1LB	11639657	.<B101(111).	83	29
1RB1LB_1RC1RD_1RD0RA_1RE0LD_1LA---	11642615	.<B1100(100100)01.	170	62
1RB1LB_1RC1RD_1LA0RA_0RE0LD_0LB---	11644011	.(110110110)A>.	178	56
1RB1LB_1RC1RD_1LA0RA_1RE0LD_1LA---	11644032	.(110110110)A>.	150	48
1RB1LB_1RC1RD_1LD0RA_1RE0LD_1LA---	11647792	.(110110110)A>.	146	46
1RB1LB_1RC1RE_0RD0RA_1LA---_1RD0LE	11648694	.<B1100(100100)001.	190	70
1RB1LB_1RC1RE_0LD1LE_---1LC_1LA0RB	11651602	.<A1110(1010).	66	22
1RB1LB_1RC1RE_1LD0RB_0LE0LC_0LA---	11653912	.<A0010101(010101).	135	52
1RB1LB_1RC1RE_1LD0RC_1RA0LC_---0RD	11653969	.10101(0101)1B>.	124	46
1RB1LB_1RC1RE_1LD0LA_0RE1LC_---0RB	11654367	.001010(10)B>.	67	18
1RB1LB_1RC1RE_1LD1LA_---0LC_0RA0LD	11655612	.<A101(001001).	109	42
1RB1LB_1RC1LA_0LA0RD_---1RE_1RA0LE	11657176	.<A1111(111111)0.	183	65
1RB1LB_1RC1LA_0LA1RD_---0RE_0RA0LA	11657517	.<A1111(111111)0.	177	67
1RB1LB_1RC1LA_0LA1RD_---0RE_0RC0LA	11657519	.<A11(111111)0.	117	44
1RB1LB_1RC1LA_0LA1RD_---0RE_0RC0LE	11657520	.<A11(111111)0.	133	48
1RB1LB_1RC1LA_0LA1RD_---0RE_1RA0LA	11657525	.<A1111(111111)0.	173	65
1RB1LB_1RC1LA_0LA1RD_---0RE_1RB0LA	11657526	.<A11(111111)0.	113	42
1RB1LB_1RC1LA_0LA1RD_---0RE_1RB0LE	11657527	.<A11(111111)0.	113	42
1RB1LB_1RC1LA_0LA1RD_---1RE_0RA1RC	11657538	.<A1111(111111)0.	131	49
1RB1LB_1RC1LA_0LA1RD_---1RE_0RC1RC	11657540	.<A11(111111)0.	97	38
1RB1LB_1RC1LA_0LA1RD_---1RE_1RA1RC	11657556	.<A1111(111111)0.	127	47
1RB1LB_1RC1LA_0LA1RD_---1RE_1RB1RC	11657558	.<A11(111111)0.	93	36
1RB1LB_1RC1LA_0LA1RD_0LA1RE_---0RA	11657641	.<A11(111111)0.	121	46
1RB1LB_1RC1LA_0LB1RD_---0RE_1RA0LA	11658303	.<A1111111(111111)0.	209	73
1RB1LB_1RC1LA_0LB1RD_---1RE_0RB1RC	11658332	.<A11111(111111)0.	134	50
1RB1LB_1RC1LA_0LB1RD_---1RE_1RA1RC	11658353	.<A1111111(111111)0.	167	59
1RB1LB_1RC1LA_0LB1RD_---1RE_1RB1RC	11658357	.<A11111(111111)0.	128	48
1RB1LB_1RC1LA_0LC1RD_0LA1RE_---0RA	11658721	.<A11(111111)0.	127	48
1RB1LB_1RC1LA_0LC1RD_1LA1RE_---0RA	11658762	.111111(111111)0A>.	192	68
1RB1LB_1RC1LA_1RD1RD_0LB1RE_---0RA	11660993	.<A11111(111111)0.	169	61
1RB1LB_1RC1LA_1LA1RD_0LB1RE_---0RA	11662028	.<A11111(111111)0.	163	59
1RB1LB_1RC1LA_1LA1RD_1LA1RE_---0RA	11662085	.111111(111111)0A>.	186	66
1RB1LB_1RC1LA_1LB1RD_---1RE_0RB1RC	11662580	.<B111(111111).	85	32
1RB1LB_1RC1LA_1LB1RD_---1RE_0LB1RC	11662587	.<A11111111(111111).	230	82
1RB1LB_1RC1LA_1LB1RD_---1RE_1RB1RC	11662597	.<B111(111111).	81	30
1RB1LB_1RC1LA_1LD1RE_---0RA_0LB1RD	11664114	.<A11111(111111)0.	181	65
1RB1LB_1RC1LA_1LD1RE_---0LA_1RB0RD	11664184	.<A111111(111111)01.	179	63
1RB1LB_1RC1LB_0LA0RD_---0RE_1LE0LA	11665158	.<A0111(111).	78	28
1RB1LB_1RC1LB_0LB0RD_---0RE_1LE0LA	11665896	.<A0111(111).	78	28
1RB1LB_1RC1LB_1LD0RE_---0LA_0LA1RD	11668558	.<B1(111)01.	47	17
1RB1LB_1RC1LB_1LD1RE_---0LA_1LE0RD	11668894	.<B1(111)01.	51	21
1RB1LB_1RC1LC_0RD0RE_0RE---_1LE0LA	11669374	.<A011111(11111111).	346	114
1RB1LB_1RC1LC_0RD0RE_1RE---_1LE0LA	11669386	.<A0111111(111111).	210	72
1RB1LB_1RC1LC_0LA0LD_0LE0RA_---1RA	11670342	.<A0110(110).	66	24
1RB1LB_1RC1LC_0LD0RA_---1LE_0LA1LE	11670979	.<A0110(110110).	138	46
1RB1LB_1RC1LC_0LD0RA_---1LE_1LB0LE	11670983	.<B1010(1101011010).	314	100
1RB1LB_1RC1LC_0LD0RA_0LA1LE_---1LD	11671003	.<A0110(110110).	138	46
1RB1LB_1RC1LC_1RD0LA_1RE0RC_0LB---	11671845	.<A0110110(1011010110)0.	410	148
1RB1LB_1RC1LC_1RD0LA_1RE0RC_1LB---	11671846	.<A01101101(01101)1.	130	44
1RB1LB_1RC1LC_1LD0RA_---0LE_1RE0LB	11673294	.1(1)01011010(10)A>.	154	47
1RB1LB_1RC1LC_1LD0RD_0RE0LA_---1RA	11673350	.<A01111(11111111)01.	542	176
1RB1LB_1RC1LD_0RD---_1LA0LE_1RC1RD	11674173	.<A11111(111111).	220	80
1RB1LB_1RC1LD_0LA0RC_0LE---_1LC1LE	11675391	.<A010110(11101101110110).	384	124
1RB1LB_1RC1LD_0LA0RC_1LE0LB_0LB---	11675437	.<B01101(101)01(01)110.	127	44
1RB1LB_1RC1LD_0LA0RC_1LE0LB_1RB---	11675438	.<B01101(101)01(01)110.	141	48
1RB1LB_1RC1LD_0LA0RC_1LE0LB_1LA---	11675439	.<A1110101(0101010101)1110.	406	145
1RB1LB_1RC1LD_0LA0RC_1LE1RA_0LB---	11675440	.<B01111101111011101110111011101110(111011101110).	1441	450
1RB1LB_1RC1LD_0LA0RC_1LE1LC_0LB---	11675444	.<B01110(1101110).	193	72
