machine; formula_tape; num_steps_until_formula_tape; num_macro_steps_until_special_case
1RB---_0RC0LC_1RD0LE_1RE1RA_1LC0LD; .11011101110111011(10111011)A>.; 454; 129
1RB---_0RC0LC_1RD0LE_1LB0RE_1RA1LB; .11110111(0111)B>.; 143; 41
1RB---_0RC0LC_1RD0LE_1LC0RA_1RA1LB; .<B10010010000(10010000).; 1232; 455
1RB---_0RC0LC_1RD1RA_0LE0RE_1LA1LD; .<A101010(1010).; 73; 28
1RB---_0RC0LC_1RD1RA_0LE0LE_1LA1LD; .<A101010(1010).; 63; 24
1RB---_0RC0LC_1RD1LC_1LE1RE_1RA0LE; .<C1111(11)0011110.; 122; 30
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0RC; .1011001(1001)A>.; 135; 43
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0LB; .1011001(1001)A>.; 123; 39
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0LC; .1011001(1001)A>.; 99; 31
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0LD; .1011001(1001)A>.; 147; 47
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA1LD; .1011001(1001)A>.; 111; 35
1RB---_0RC0LC_1LD0RE_0RE0LE_1RA0LC; .1011001(1001)A>.; 99; 31
1RB---_0RC0LC_1LD0RE_0LE0RC_1RA0LB; .(1001100110011001)A>.; 420; 110
1RB---_0RC0LC_1LD0RE_1RD0LE_1RA1LD; .1011001(1001)A>.; 111; 35
1RB---_0RC0LC_1LD0RE_1LB0LD_0LA1RA; .<B11011(1011).; 87; 32
1RB---_0RC0LC_1LD0RE_1LB0LE_0LA0RA; .<B11011(1011).; 75; 28
1RB---_0RC0LC_1LD0LA_1LE1RE_1LB0RD; .<A00111111(111111).; 282; 98
1RB---_0RC0LC_1LD1RA_0LE0RB_0RB1LB; .00111011101(1101)A>.; 248; 77
1RB---_0RC0LC_1LD1RA_0LE0RB_0RE1LB; .00111011101(1101)A>.; 260; 81
1RB---_0RC0LC_1LD1RA_0LE0RB_1RA1LB; .111011011101(1011101)A>.; 278; 87
1RB---_0RC0LC_1LD1RA_0LE0RB_1RB1LB; .10110111011(0111011)101A>.; 308; 99
1RB---_0RC0LC_1LD1RA_0LE0RB_1RD1LB; .011101(1011101)A>.; 169; 59
1RB---_0RC0LC_1LD1RA_0LE0RB_1RE1LB; .111011011101(1011101)A>.; 290; 91
