machine; formula tape; number steps before formula tape; number macro steps before special case
1RB---_0RC0LC_1LD1RA_0LE0RE_1LA1LD; 0∞<A10101(0101)0∞; 67; 26
1RB---_0RC0LC_1LD1RA_0LE0LD_0RA1LB; 0∞011101(1011101)A>0∞; 215; 74
1RB---_0RC0LC_1LD1RA_0LE0LD_0RB1LB; 0∞0011011101(1011101)A>0∞; 294; 100
1RB---_0RC0LC_1LD1RA_0LE0LD_1RA1LB; 0∞1110111011101(10111011011101)A>0∞; 608; 201
1RB---_0RC0LC_1LD1RA_0LE0LD_1RD1LB; 0∞011101(10111011011101)A>0∞; 481; 157
1RB---_0RC0LC_1LD1RA_0LE0LD_1LB0RD; 0∞011101(10111011011101)A>0∞; 541; 173
1RB---_0RC0LC_1LD1RA_0LE0LD_1LB1LB; 0∞011101(10111011011101)A>0∞; 473; 153
1RB---_0RC0LC_1LD1RA_0LE0LE_1LA1LD; 0∞<A10101(0101)0∞; 57; 22
1RB---_0RC0LC_1LD1RA_1RE0LD_0RB1LD; 0∞1(11)001(101)A>0∞; 161; 61
1RB---_0RC0LC_1LD1RA_1RE0LE_1LA1LD; 0∞<A10101(0101)0∞; 71; 26
1RB---_0RC0LC_1LD1RC_1RE1LE_0LA1LB; 0∞<A0110111(111)0∞; 82; 28
1RB---_0RC0LC_1LD1RE_1LB0RB_0RD0RA; 0∞01010101010(1010)A>0∞; 122; 39
1RB---_0RC0LC_1LD1RE_1LB0RB_0RD1RA; 0∞01110011(10011)A>0∞; 175; 65
1RB---_0RC0LD_0RD0RA_0LE1RD_1LA1LB; 0∞<A100100(0100)0∞; 101; 38
1RB---_0RC0LD_0RD0RA_1LE1LB_1LA---; 0∞<B1010101(0101)0∞; 98; 37
1RB---_0RC0LD_0RD0LA_1LE1RD_1LA1LB; 0∞<A110111(111111111111)0∞; 587; 187
1RB---_0RC0LD_0RD1RB_0RE0LA_1LE1LB; 0∞<B11111(111)0∞; 77; 29
1RB---_0RC0LD_0RD1RB_1RE0LE_1LB---; 0∞<B10011(0011)10∞; 138; 52
1RB---_0RC0LD_0RD1RB_1LD1RE_1RA0LE; 0∞11011(011011)A>0∞; 168; 58
1RB---_0RC0LD_0RD1RC_0RE0LA_1LE0LB; 0∞011000101(011)C>0∞; 72; 15
1RB---_0RC0LD_0RD1RC_0LE1RA_1LB1LE; 0∞<B11(11)00100∞; 64; 25
1RB---_0RC0LD_0RD1RD_0LE1LB_1LA0RA; 0∞<A100100(0100)0∞; 89; 34
1RB---_0RC0LD_0LD0RE_0LE1LC_0RA1LD; 0∞0100010(0010)C>0∞; 89; 31
1RB---_0RC0LD_1RD0RA_1LE1LB_1LA0LB; 0∞<B1010101(0101)0∞; 116; 43
1RB---_0RC0LD_1RD0RA_1LE1LB_1LA0LD; 0∞<B1010101(0101)0∞; 92; 35
1RB---_0RC0LD_1RD0RA_1LE1LB_1LA1RD; 0∞<B1010101(0101)0∞; 104; 39
1RB---_0RC0LD_1RD0RA_1LE1LB_1LA1LA; 0∞<B1010101(0101)0∞; 98; 37
1RB---_0RC0LD_1RD0RE_1LE0RA_0LB0LD; 0∞<B0100101010(0100101010)100101(11)01010∞; 831; 300
1RB---_0RC0LD_1RD0LA_1LE0RB_0LC0RB; 0∞<A0010(010)0∞; 63; 23
1RB---_0RC0LD_1RD0LA_1LE0RB_1LA0LD; 0∞<A110101(0101)0∞; 67; 26
1RB---_0RC0LD_1RD0LB_1RE0LE_1LC1RA; 0∞<B01010001000101(01000101)0∞; 351; 121
1RB---_0RC0LD_1RD0LE_1LB1RA_1LC1RE; 0∞<C101111111111111111111111(1111)00∞; 871; 162
1RB---_0RC0LD_1RD1RA_0LE0RA_1RB1LD; 0∞10(1010)C>0∞; 40; 16
1RB---_0RC0LD_1RD1RA_0LE0RA_1LA1LD; 0∞<A101010(1010)0∞; 63; 24
1RB---_0RC0LD_1RD1RA_0LE0RD_1LB1RE; 0∞01101101101101(101101)A>0∞; 361; 106
1RB---_0RC0LD_1RD1RA_1LE0RA_1LA0LD; 0∞<A110101(0101)0∞; 69; 27
1RB---_0RC0LD_1RD1RB_1LE1LB_1RC1LA; 0∞<B101010101(01010101)0∞; 215; 76
1RB---_0RC0LD_1RD1RE_0LE0RA_1RB1LD; 0∞10(1010)C>0∞; 40; 16
1RB---_0RC0LD_1RD1RE_1LC1RA_0RB1LE; 0∞1111(111111111111111111)010B>0∞; 1257; 412
1RB---_0RC0LD_1RD1LE_1LE1RA_1RD0LC; 0∞1(1111)B>0∞; 47; 19
1RB---_0RC0LD_1LA0RA_1RB1LE_0LD1LA; 0∞<A110(1010)0∞; 77; 29
1RB---_0RC0LD_1LA0RA_1RB1LE_0LD1LD; 0∞1(1001)0C>0∞; 60; 23
1RB---_0RC0LD_1LA0RB_1LC0LE_1RA1LB; 0∞<A110100(10100)0∞; 107; 34
1RB---_0RC0LD_1LA0RD_0RB1LE_1LC0LA; 0∞<A010(110)0∞; 47; 17
1RB---_0RC0LD_1LA0RD_1RB1LE_0LD1LA; 0∞<A110(1010)0∞; 77; 29
1RB---_0RC0LD_1LA0LB_1RE1RD_1LC0RA; 0∞(110110)A>0∞; 88; 31
1RB---_0RC0LD_1LB1RD_1RE0LB_1RC0RA; 0∞0110110110110(110110110110)A>0∞; 1473; 497
1RB---_0RC0LD_1LD0RA_1RB1LE_0LD1LA; 0∞<A110(1010)0∞; 77; 29
1RB---_0RC0LD_1LD0RA_1RB1LE_0LD1LD; 0∞1(1001)0C>0∞; 60; 23
1RB---_0RC0LD_1LD0RC_0LE1RE_1RA0LC; 0∞1111111(1111)A>0∞; 120; 43
1RB---_0RC0LD_1LD0RD_1RB1LE_0LD1LA; 0∞<A110(1010)0∞; 77; 29
