machine; formula tape; number steps before formula tape; number macro steps before special case
1RB---_0RC0LD_1LA0RA_1RB1LE_0LD1LD; 0∞11001(1001)0C>0∞; 60; 39
1RB---_0RC0LD_1LA0RB_1LC0LE_1RA1LB; 0∞<A11010010100(10100)0∞; 107; 52
1RB---_0RC0LD_1LA0RD_0RB1LE_1LC0LA; 0∞<A010110(110)0∞; 47; 27
1RB---_0RC0LD_1LA0RD_1RB1LE_0LD1LA; 0∞<A1101010(1010)0∞; 77; 45
1RB---_0RC0LD_1LA0LB_1RE1RD_1LC0RA; 0∞110110(110110)A>0∞; 88; 60
1RB---_0RC0LD_1LB1RD_1RE0LB_1RC0RA; 0∞0110110110110110110110110(110110110110)A>0∞; 1473; 809
1RB---_0RC0LD_1LD0RA_1RB1LE_0LD1LA; 0∞<A1101010(1010)0∞; 77; 45
1RB---_0RC0LD_1LD0RA_1RB1LE_0LD1LD; 0∞11001(1001)0C>0∞; 60; 39
1RB---_0RC0LD_1LD0RC_0LE1RE_1RA0LC; 0∞11111111111(1111)A>0∞; 120; 59
1RB---_0RC0LD_1LD0RD_1RB1LE_0LD1LA; 0∞<A1101010(1010)0∞; 77; 45
1RB---_0RC0LD_1LD0RE_0LE0LC_1RA0RA; 0∞01100110011(0011)B>0∞; 119; 48
1RB---_0RC0LD_1LD1RA_0LE0RA_1RB0LB; 0∞<B0010101(0101)0∞; 63; 38
1RB---_0RC0LD_1LD1RA_0LE0RA_1RB1LD; 0∞10101(0101)B>0∞; 35; 24
1RB---_0RC0LD_1LD1RA_0LE0RA_1LA0LB; 0∞<A101010101(0101)0∞; 75; 42
1RB---_0RC0LD_1LD1RA_0LE0RA_1LA1LD; 0∞<A101010101(0101)0∞; 57; 32
1RB---_0RC0LD_1LD1RA_0LE0RB_1RB1LD; 0∞101101(101101)A>0∞; 62; 46
1RB---_0RC0LD_1LD1RA_0LE0RE_1RB0LB; 0∞<B0010101(0101)0∞; 63; 38
1RB---_0RC0LD_1LD1RE_0LE0RA_1RB1LD; 0∞10101(0101)B>0∞; 35; 24
1RB---_0RC0LE_0RD0RA_1RE0LC_1LB1RC; 0∞1001011011(011)C>0∞; 105; 49
1RB---_0RC0LE_0RD0RA_1RE1RE_1LB1RC; 0∞1001011011(011)C>0∞; 93; 41
1RB---_0RC0LE_0RD0RA_1LC1RE_1LB1RC; 0∞1001011011(011)C>0∞; 107; 45
1RB---_0RC0LE_0RD0LA_1LD1LB_---0RD; 0∞<B1111111(111)0∞; 67; 39
1RB---_0RC0LE_0RD0LD_0LE0RA_1LA1LC; 0∞<A1001000100(0100)0∞; 73; 38
1RB---_0RC0LE_0RD0LE_1RE1RA_1LC0LC; 0∞<C101100010001000(1000)0∞; 244; 86
1RB---_0RC0LE_0RD1RA_1RE---_1LB0LE; 0∞<B100100100100(100)00∞; 135; 39
1RB---_0RC0LE_0RD1RC_1LD1LB_0LA1LD; 0∞<A00111011101110111(01110111)0∞; 294; 164
1RB---_0RC0LE_0RD1LD_1LE0LB_0LA1LB; 0∞<A00111111(111)0∞; 90; 50
1RB---_0RC0LE_0LD0RA_1LB1LC_1RC1LE; 0∞<B1010101010(1010)0∞; 70; 38
1RB---_0RC0LE_0LD0RA_1LB1LE_1LC0RA; 0∞<B1010101(0101)1010100∞; 147; 67
1RB---_0RC0LE_0LD0RA_1LB1LE_1LC0RC; 0∞<B1010101(0101)1010100∞; 195; 91
1RB---_0RC0LE_0LD0RA_1LB1LE_1LC1LB; 0∞<B1010101(0101)1010100∞; 171; 79
1RB---_0RC0LE_0LD0RE_1RC1LB_1RA0LC; 0∞00110011001(1001)A>0∞; 100; 41
1RB---_0RC0LE_0LD0RE_1LB0LC_1RA1RC; 0∞00110011001(1001)A>0∞; 94; 39
1RB---_0RC0LE_0LD1RC_1LB0RE_1RA0LC; 0∞00110011001(1001)A>0∞; 100; 41
1RB---_0RC0LE_1RD0RA_0LB1RB_1LE1LD; 0∞<B0100100(100)000∞; 105; 54
