machine_id; machine; closed_states
790950; 1RB---_0LB1LC_0LD---_1RE0LD_0RE1LD; {'D', 'E'}
790952; 1RB---_0LB1LC_0LD---_1RE0LD_1RE1LD; {'D', 'E'}
790982; 1RB---_0LB1LC_0LD---_1RE1LD_0LD0RE; {'D', 'E'}
790983; 1RB---_0LB1LC_0LD---_1RE1LD_0LD1RE; {'D', 'E'}
790984; 1RB---_0LB1LC_0LD---_1RE1LD_1LD1RE; {'D', 'E'}
791012; 1RB---_0LB1LC_0LD---_1LE1RD_0RD0LE; {'D', 'E'}
791013; 1RB---_0LB1LC_0LD---_1LE1RD_0RD1LE; {'D', 'E'}
791014; 1RB---_0LB1LC_0LD---_1LE1RD_1RD1LE; {'D', 'E'}
807013; 1RB---_0LB1LC_1RD---_0RD1LE_1RD0LE; {'D', 'E'}
807029; 1RB---_0LB1LC_1RD---_0RE0RD_1LE1RD; {'D', 'E'}
807042; 1RB---_0LB1LC_1RD---_0RE0LD_1LD1RE; {'D', 'E'}
807093; 1RB---_0LB1LC_1RD---_0RE1LD_1LD1RE; {'D', 'E'}
807126; 1RB---_0LB1LC_1RD---_0LD1RE_1LD0RE; {'D', 'E'}
807154; 1RB---_0LB1LC_1RD---_0LE0RD_1RD1LE; {'D', 'E'}
807217; 1RB---_0LB1LC_1RD---_0LE1RD_1RD1LE; {'D', 'E'}
807255; 1RB---_0LB1LC_1RD---_1RD1LE_0LD0LE; {'D', 'E'}
807257; 1RB---_0LB1LC_1RD---_1RD1LE_1RD0LE; {'D', 'E'}
